countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,oil and fats,Oil,137,L,actual,Retail,RWF,1700.0,1.81
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,oil and fats,Oil (palm),62,L,actual,Retail,RWF,1800.0,1.92
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,420.0,0.45
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,100.0,0.11
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,425.0,0.45
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Maize,51,KG,actual,Retail,RWF,385.0,0.41
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,950.0,1.01
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,1800.0,1.92
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,oil and fats,Oil,137,L,actual,Retail,RWF,1800.0,1.92
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,oil and fats,Oil (palm),62,L,actual,Retail,RWF,1700.0,1.81
RWA,2020-01-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,2361,-2.35,30.76,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,2361,-2.35,30.76,miscellaneous food,Salt,185,KG,actual,Retail,RWF,350.0,0.37
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,2361,-2.35,30.76,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,850.0,0.91
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,2361,-2.35,30.76,oil and fats,Oil,137,L,actual,Retail,RWF,1800.0,1.92
RWA,2020-01-15,Eastern Province,Kirehe,Kiyanzi,2361,-2.35,30.76,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,425.0,0.45
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,175.0,0.19
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,393.33,0.42
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Maize,51,KG,actual,Retail,RWF,450.0,0.48
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,728.33,0.78
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,266.67,0.28
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,826.0,0.88
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,925.0,0.99
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,1800.0,1.92
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2500.0,2.67
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,miscellaneous food,Salt,185,KG,actual,Retail,RWF,370.0,0.39
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,940.0,1.0
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,oil and fats,Oil,137,L,actual,Retail,RWF,1700.0,1.81
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,oil and fats,Oil (palm),62,L,actual,Retail,RWF,1600.0,1.71
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,450.0,0.48
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,275.0,0.29
RWA,2020-01-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,100.0,0.11
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,325.0,0.35
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,775.0,0.83
RWA,2020-01-15,Eastern Province,Kirehe,Munini,2365,-2.31,30.82,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,250.0,0.27
