date,general_cpi,food_cpi,cpi_mom_pct,food_cpi_mom_pct,cpi_yoy_pct
2022-05-15,144.92668200943464,175.52663774853917,0.019155044620666306,0.049501917355615266,0.12573152097373486
2022-06-15,146.03060083734485,175.34164361766554,0.007617084808705821,-0.0010539376430069858,0.13663458104563064
2022-07-15,148.44115495064383,180.411880857278,0.016507184791932472,0.028916332338415618,0.15573966043249454
2022-08-15,149.20044870698158,180.93181142399013,0.00511511619934657,0.00288190868717475,0.15871040036536987
2022-09-15,152.40450200016446,189.63583612510484,0.021474823440212232,0.04810665759996158,0.17649701667702122
2022-10-15,156.53323739274313,199.77002791682438,0.027090639307848052,0.05344027794954265,0.2006614084629994
2022-11-15,157.80845344566993,202.3460845865841,0.008146615211996666,0.012895110926411268,0.21708818728232426
2022-12-15,157.763375748781,199.6443371122545,-0.00028564817603038417,-0.013352111457207494,0.21631732425985128
2023-01-15,159.7933127239802,205.03169852787775,0.012866972233350538,0.026984794527851186,0.2068798579186688
2023-02-15,162.72619193822396,214.67695274751077,0.018354204967950594,0.04704274650644602,0.2076114512502567
2023-03-15,165.6494613795941,223.96085972501993,0.017964344931514775,0.04324594167510987,0.19276928761302026
2023-04-15,167.5153426904508,228.79355939011742,0.011264034880143381,0.021578322529352212,0.17800327853513243
2023-05-15,165.36750307834262,220.1271267463403,-0.012821748608885075,-0.03787883132234471,0.1410424966989674
2023-06-15,166.02466884109833,221.2370926435001,0.003973971611849203,0.005042385795726245,0.13691697417600657
2023-07-15,166.07225372861382,221.53487358193564,0.00028661335600088655,0.0013459810688951634,0.11877500403329688
2023-08-15,167.50281074377003,225.47528056435186,0.008614063957329998,0.01778684736495384,0.1226696179227511
2023-09-15,173.5587605116841,245.83827359131104,0.03615431729786267,0.09031142117216473,0.13880337020160227
2023-10-15,174.03130827958137,245.82165010365597,0.002722696143393044,-6.761960785117704e-05,0.11178501881319569
2023-11-15,172.2560000074874,237.74032865712854,-0.01020108559571331,-0.03287473435769295,0.09155115740863295
2023-12-15,167.93567679581503,222.9240811804034,-0.02508082860094607,-0.06232113651232174,0.06447821618137906
2024-01-15,167.71951533310548,220.1038988000299,-0.0012871681993599227,-0.012650864659575434,0.04960284303521911
2024-02-15,170.75182941846788,228.20112768698132,0.018079673551047115,0.036788211981233276,0.04931988750336336
2024-03-15,172.5749880948635,229.49192300237706,0.01067724242021173,0.005656393237312596,0.04180832619430741
2024-04-15,175.03787913250756,232.37814483698733,0.014271425221192624,0.01257657261680789,0.04490655196854143
2024-05-15,175.0212205415329,230.562969461579,-9.517134838021857e-05,-0.0078112998822744695,0.05837735518457232
2024-06-15,174.39976724070925,228.1472813239237,-0.003550731156489517,-0.010477346571726276,0.05044490350784381
2024-07-15,174.15235730383534,224.82086913877106,-0.0014186368524932158,-0.01458010880449545,0.048654145372324376
2024-08-15,175.79548136254246,229.04457057116645,0.0094349802905076,0.018786963365879927,0.04950765054001249
2024-09-15,177.92630707649755,234.7133042694783,0.012121049400358075,0.024749478602246633,0.025164656350028514
2024-10-15,180.64180482948757,243.37360027167745,0.015261923869540617,0.03689733749500679,0.03798452482634018
2024-11-15,180.80922183173138,242.7068471266573,0.0009267899111273792,-0.002739628062681687,0.049654130038269795
2024-12-15,179.31969933164473,236.20753673999897,-0.008238089213573718,-0.026778438530276172,0.06778799331407703
2025-01-15,180.21178082694794,235.89028146355906,0.004974810345032665,-0.001343120887751903,0.07448307651635977
2025-02-15,181.4293348448627,238.50490877956497,0.006756239865827185,0.01108408239535641,0.06253230470654025
2025-03-15,183.8534678734584,244.2030843378823,0.013361306927948347,0.023891229691979987,0.06535408116264918
