country,date,province,district,market_name,lat,lon,food_category,commodity_name,unit,price_flag,price_type,currency,price_rwf,price_usd,year,month,quarter,day_of_week,commodity_group
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,2500.0,2.67,2020,1,1,2,Meat (beef)
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,miscellaneous food,Salt,KG,actual,Retail,RWF,375.0,0.4,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,miscellaneous food,Sugar,KG,actual,Retail,RWF,978.57,1.04,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,481.67,0.51,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,vegetables and fruits,Bananas,KG,actual,Retail,RWF,216.67,0.23,2020,1,1,2,Bananas
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,vegetables and fruits,Cabbage,KG,actual,Retail,RWF,106.67,0.11,2020,1,1,2,Cabbage
RWA,2020-01-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.6,30.26,vegetables and fruits,Cassava leaves,KG,actual,Retail,RWF,300.0,0.32,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,cereals and tubers,Maize flour,KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,1000.0,1.07,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,cereals and tubers,Rice (local),KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,cereals and tubers,"Rice (long grain, high quality, local)",KG,actual,Retail,RWF,900.0,0.96,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Gatore,-2.28,30.59,miscellaneous food,Sugar,KG,actual,Retail,RWF,950.0,1.01,2020,1,1,2,Sugar
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,400.0,0.43,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Maize,KG,actual,Retail,RWF,450.0,0.48,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Maize flour,KG,actual,Retail,RWF,750.0,0.8,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,300.0,0.32,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,950.0,1.01,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Rice (local),KG,actual,Retail,RWF,850.0,0.91,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,cereals and tubers,Sorghum,KG,actual,Retail,RWF,470.0,0.5,2020,1,1,2,Sorghum
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2000.0,2.13,2020,1,1,2,Fish (dry)
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,2500.0,2.67,2020,1,1,2,Meat (beef)
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,miscellaneous food,Salt,KG,actual,Retail,RWF,387.5,0.41,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Kirehe,Kabeza,-2.31,30.83,miscellaneous food,Sugar,KG,actual,Retail,RWF,925.0,0.99,2020,1,1,2,Sugar
